"adm1","adm2"
"Kwilu","Bandundu"
"Kwango","Panzi"
"Kongo Central","Lukula"
"Kasai Central","Katende"
"Nord Kivu","Masereka"
"Haut Katanga","Kilela Balanda"
"Mai Ndombe","Ntandembelo"
"Haut Lomami","Kabongo"
"Lualaba","Dilolo"
"Lomami","Kamana"
"Mongala","Bumba"
"Kinshasa","Police"
"Kasai Central","Dibaya"
"Sud Ubangi","Bominenge"
"Sankuru","Lomela"
"Kinshasa","Gombe"
"Kasai Oriental","Mukumbi"
"Maniema","Kindu"
"Sankuru","Djalo Djeka"
"Sud Kivu","Kimbi Lulenge"
"Kwango","Kajiji"
"Nord Ubangi","Gbadolite"
"Kwango","Kimbau"
"Bas Uele","Aketi"
"Lomami","Kanda Kanda"
"Kasai Central","Luambo"
"Kinshasa","Ngiri Ngiri"
"Haut Uele","Isiro"
"Equateur","Bolomba"
"Sud Kivu","Kaniola"
"Kinshasa","Nsele"
"Kasai Central","Kananga"
"Kinshasa","Binza Ozone"
"Ituri","Jiba"
"Ituri","Nyankunde"
"Mai Ndombe","Bolobo"
"Kasai Central","Ndekesha"
"Kongo Central","Gombe Matadi"
"Kasai Central","Bobozo"
"Maniema","Kunda"
"Equateur","Bolenge"
"Sud Kivu","Shabunda"
"Maniema","Kasongo"
"Haut Uele","Watsa"
"Nord Kivu","Beni"
"Haut Lomami","Kitenge"
"Lualaba","Dilala"
"Kongo Central","Mangembo"
"Sud Kivu","Uvira"
"Kongo Central","Nsona Pangu"
"Kwilu","Moanza"
"Ituri","Laybo"
"Sud Kivu","Kitutu"
"Equateur","Lilanga Bobangi"
"Haut Lomami","Malemba Nkulu"
"Nord Ubangi","Karawa"
"Kinshasa","Selembao"
"Haut Uele","Aba"
"Maniema","Kabambare"
"Sud Kivu","Mwana"
"Haut Katanga","Katuba"
"Kwango","Kisanji"
"Equateur","Bikoro"
"Haut Katanga","Lukafu"
"Kinshasa","Maluku Ii"
"Haut Katanga","Kambove"
"Mai Ndombe","Kwamouth"
"Ituri","Mongbalu"
"Kinshasa","Kingabwa"
"Sud Ubangi","Tandala"
"Kwilu","Yasa Bonga"
"Equateur","Makanza"
"Nord Kivu","Rutshuru"
"Mai Ndombe","Penjwa"
"Kwilu","Koshibanda"
"Haut Katanga","Kashobwe"
"Kinshasa","Kintambo"
"Ituri","Drodro"
"Tshuapa","Mompono"
"Nord Kivu","Kibirizi"
"Sud Kivu","Minova"
"Kwango","Popokabaka"
"Nord Kivu","Lubero"
"Tanganyika","Manono"
"Sud Kivu","Kalehe"
"Kasai Central","Yangala"
"Haut Lomami","Baka"
"Nord Kivu","Mweso"
"Equateur","Irebu"
"Equateur","Lolanga Mampoko"
"Tanganyika","Kiambi"
"Kongo Central","Mbanza Ngungu"
"Haut Uele","Niangara"
"Kongo Central","Matadi"
"Bas Uele","Buta"
"Kasai","Ndjoko Mpunda"
"Mai Ndombe","Inongo"
